,name,time
1816,Sir John Jameson,2
1907,George Gilchrist,2
1717,James Smyth,2
2010,Wood Fire,2
1759,Lord Jesus,2
1950,James M,2
3430,James Nichol,2
1757,Mr. Harmer,2
3194,Donald Bayn,2
1612,Lov 'd,2
3253,Mr. Williamson,2
1913,Dame Fortune,2
3419,James Sherdan,2
1900,Margaret M'Teague,2
202,William Wallace,2
3375,James Dixon,2
1767,David Glenn,2
2001,Till Meggy,2
3329,William Clackson,2
2394,Henry Palmer,1
1882,Thomas M'Kenna,1
1876,Noo Rab,1
1871,Sandy Mackay,1
1875,Abraham Foggets,1
2362,Gilt Knock-Hal,1
2384,My Love,1
2395,Mary Haldane,1
2360,Poor Willy,1
1883,Barbara Malcolm,1
2383,Dandy JOHN SLINK,1
2361,Rebecca Hudson,1
2363,Messrs George Goodlet,1
2396,Thomas Beveridge,1
2380,John Delgeess,1
2382,Nor Place,1
2359,Yet Young,1
1874,Hugh M' Millan,1
1884,James Sharp,1
2392,Charles O'Brien,1
2376,Bra Cloaths,1
2364,Finny Fry,1
2386,See Aytoun,1
2375,Robert Johnston,1
2387,Burke Mrs Burke,1
1879,Alls Tavern,1
2373,John F,1
2372,Mither Nature,1
2388,David Mickel,1
1880,Thus Vice,1
2370,St. Peter,1
1872,Poor London,1
2389,Great Volumns,1
2369,Janet Finnie,1
2368,James More,1
2381,Thou O Lord,1
2367,Thy Bracelets,1
2377,Coal Gas,1
1873,William Haddow,1
2366,Maggie Lauther,1
2385,My Gown,1
2378,Francis Gartred,1
2390,Arthur Woods,1
2365,Slaine Songs,1
2391,Peter Conacher,1
1881,Harper Twelvitrees,1
2014,James M'Laren,1
1889,Whole Squadrons,1
2358,Thus Thames,1
1899,Margeret Gordon,1
1898,Whilst Sun,1
2307,Thy Beastly Book,1
2308,Robert Muir,1
2309,Epsom Salts,1
2310,Miss Gall,1
1897,Nichol Lithog,1
2311,William Purves,1
2312,JOHN THOMAS,1
2314,Angel Bright,1
1896,Stories Janet Ritchie,1
2315,Execute Dobie,1
2316,Sure Cupid,1
2317,Mourn Traitor,1
2318,Robert Anderson,1
2319,JAMES CLELLAND,1
2320,Thomas Pott,1
2321,Jemima Brown One,1
2306,Blind Please,1
2304,Agnes White,1
2322,Isobel Vint,1
2303,Alexander Cunningham,1
1906,Oyster Wives,1
2291,Walter M'Farlane,1
2292,Pitts Printer Toy,1
2293,Edinburgh Mercury,1
1905,Auld Joe Nicholson,1
1904,My Body,1
2295,Herriot Row,1
2296,Alexander Gordons Lawful Sons,1
2297,Council Men,1
1903,Mr. John Matheson,1
2298,Margaret Peterson,1
2299,Hatton Woods Rocks,1
2300,Jamaica Brlg,1
2301,Are Fat,1
